Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VTAK,Catheter Precision Inc. Common Stock,$0.49,0.0009,0.184%,3443072.00,,2018,4896,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.11,0.00,0.00%,230873139.00,,2022,250614,,
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.54,-0.03,-0.284%,0.00,,2021,20463,Finance,Blank Checks
WRN,Western Copper and Gold Corporation Common Stock,$1.2701,0.0001,0.008%,206542354.00,Canada,2011,28319,,
WWR,Westwater Resources Inc. Common Stock,$0.5261,-0.0089,-1.664%,28849159.00,United States,,49985,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$2.80,0.01,0.358%,24762284.00,United States,,3492,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.5334,-0.0051,-0.947%,42184663.00,United States,,5344,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.2405,-0.0295,-2.323%,161401765.00,United States,,9612,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.6955,-0.0135,-1.904%,2117861.00,United States,2017,1075,Consumer Discretionary,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.67,0.0001,0.015%,,United States,,7845,,
ZDGE,Zedge Inc. Class B Common Stock ,$4.07,0.01,0.246%,58423112.00,,2016,6526,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1394,0.003,2.199%,132422984.00,United States,2017,2041358,Health Care,Biotechnology: Pharmaceutical Preparations
